"PLT_CN","SPCD","SEED.PRES","fire.sev","PREV_BAH","ECOSUBCD","mult.comp.coexist","MAT_ref_mean","MAT_maxanom","MAT_maxanom.z","MAT_maxanom_2050","MAT_maxanom_2050.z","MAT_maxanom_2080","MAT_maxanom_2080.z","CMD_ref_mean","CMD_maxanom","CMD_maxanom.z","CMD_maxanom_2050","CMD_maxanom_2050.z","CMD_maxanom_2080","CMD_maxanom_2080.z"
216959270020004,93,0,0,14.83173478,"M332Gl","restructuring",5.06774193548387,1.43225806451613,1.97559151365785,2.83225806451613,3.90668772295404,4.63225806451613,6.38952570633485,387.064516129032,111.935483870968,1.44753625398477,103.935483870968,1.34408121335415,158.935483870968,2.05533461768961
216959728020004,19,1,0,4.628480844,"M333Ag","reassembly",4.18709677419355,1.21290322580645,1.62009479051119,2.81290322580645,3.75724110990892,4.71290322580645,6.29510236419373,245.161290322581,99.8387096774194,1.21176751523311,106.838709677419,1.29672827478258,153.838709677419,1.8671790889004
216959728020004,93,1,0,4.628480844,"M333Ag","reassembly",4.18709677419355,1.21290322580645,1.62009479051119,2.81290322580645,3.75724110990892,4.71290322580645,6.29510236419373,245.161290322581,99.8387096774194,1.21176751523311,106.838709677419,1.29672827478258,153.838709677419,1.8671790889004
216959741020004,19,0,0,13.82142621,"M242Db","replacement",5.33870967741935,1.36129032258065,2.21087095726146,2.56129032258065,4.15979037930236,4.36129032258064,7.08316951236372,251,35,0.58112067797748,92,1.52751721068366,138,2.29127581602549
216959741020004,93,0,0,13.82142621,"M242Db","replacement",5.33870967741935,1.36129032258065,2.21087095726146,2.56129032258065,4.15979037930236,4.36129032258064,7.08316951236372,251,35,0.58112067797748,92,1.52751721068366,138,2.29127581602549
216959743020004,19,0,0,6.298787255,"M333Ad","resilience",5.71612903225806,1.18387096774194,1.65548374842623,2.88387096774194,4.03270428090748,4.68387096774194,6.5497613152994,328,158,2.01633863013636,118,1.50587315415247,165,2.10567008843354
216959743020004,93,1,0,6.298787255,"M333Ad","resilience",5.71612903225806,1.18387096774194,1.65548374842623,2.88387096774194,4.03270428090748,4.68387096774194,6.5497613152994,328,158,2.01633863013636,118,1.50587315415247,165,2.10567008843354
216959836020004,19,1,0,5.588897869,"M332Gl","restructuring",5.46451612903226,1.43548387096774,2.05271928947985,2.83548387096774,4.0546972032647,4.63548387096774,6.62866880670236,417.41935483871,94.5806451612903,1.30137869498381,111.58064516129,1.53528953136051,165.58064516129,2.2783004233806
216959836020004,93,1,0,5.588897869,"M332Gl","restructuring",5.46451612903226,1.43548387096774,2.05271928947985,2.83548387096774,4.0546972032647,4.63548387096774,6.62866880670236,417.41935483871,94.5806451612903,1.30137869498381,111.58064516129,1.53528953136051,165.58064516129,2.2783004233806
216960169020004,19,1,0,12.24088958,"M332Gf","reassembly",4.58064516129032,1.31935483870968,1.72113902661158,2.71935483870968,3.5474821502043,4.61935483870968,6.02609067508014,341.612903225806,88.3870967741935,1.11601009870305,77.3870967741935,0.977119790798761,121.387096774194,1.5326810224159
